lsoa11cd,pop_adjusted_beds
E01001030,0.1454162
E01001031,0.119517517
E01001032,0.09762473
E01001033,0.170638869
E01001034,0.17333184
E01001035,0.152288502
E01001036,0.094142825
E01001037,0.332646588
E01001038,0.221131872
E01001039,0.124309227
E01001040,0.220759835
E01001041,0.235063436
E01001042,0.232279644
E01001043,0.209085729
E01001044,0.090725232
E01001045,0.126443647
E01001046,0.137633995
E01001047,0.206827527
E01001048,0.227038783
E01001049,0.086631344
E01001050,0.095272563
E01001051,0.13989013
E01001052,0.193495513
E01001053,0.146216686
E01001054,0.154384148
E01001055,0.137501391
E01001056,0.260532114
E01001057,0.311699103
E01001058,0.138682477
E01001059,0.134896092
E01001060,0.116313489
E01001061,0.159512507
E01001062,0.066330458
E01001063,0.112143706
E01001064,0.076369878
E01001065,0.114625207
E01001066,0.191212278
E01001067,0.118219485
E01001068,0.102886804
E01001069,0.121227106
E01001070,0.121579198
E01001071,0.140088862
E01001072,0.079297616
E01001073,0.184441265
E01001074,0.130330944
E01001075,0.154263143
E01001076,0.170760526
E01001077,0.136428512
E01001078,0.184873812
E01001079,0.147205108
E01001080,0.103082679
E01001081,0.171343491
E01001082,0.155291695
E01001083,0.105345152
E01001084,0.105388338
E01001085,0.13442755
E01001086,0.124493377
E01001087,0.113399569
E01001088,0.165257495
E01001089,0.146865734
E01001090,0.123251919
E01001091,0.123696335
E01001092,0.082442606
E01001093,0.131848626
E01001094,0.089108515
E01001095,0.206150524
E01001096,0.104449206
E01001097,0.105100464
E01001098,0.138735075
E01001099,0.198103623
E01001100,0.137425928
E01001101,0.150634918
E01001102,0.074578318
E01001103,0.087383728
E01001104,0.125288119
E01001105,0.132764079
E01001106,0.131634749
E01001107,0.092182434
E01001108,0.075233698
E01001109,0.078821526
E01001110,0.42156986
E01001111,0.210683357
E01001112,0.183098615
E01001113,0.237339287
E01001114,0.309894837
E01001115,0.159538441
E01001116,0.251424412
E01001117,0.162895316
E01001118,0.155292252
E01001119,0.104543402
E01001120,0.143105252
E01001121,0.076981121
E01001122,0.098739422
E01001123,0.091208561
E01001124,0.074607156
E01001125,0.096551332
E01001126,0.095071677
E01001127,0.095425751
E01001128,0.193816515
E01001129,0.106695616
E01001130,0.308688797
E01001131,0.112230157
E01001132,0.081415509
E01001133,0.068951795
E01001134,0.104108668
E01001135,0.088548268
E01001136,0.136686202
E01001137,0.135345461
E01001138,0.201292945
E01001139,0.166330192
E01001140,0.269464989
E01001141,0.277040677
E01001142,0.13672946
E01001143,0.130679267
E01001144,0.249398891
E01001145,0.295482624
E01001146,0.189179992
E01001147,0.254423725
E01001148,0.208549193
E01001149,0.21930156
E01001150,0.243768028
E01001151,0.15438839
E01001152,0.227173755
E01001153,0.183770998
E01001154,0.20374418
E01001155,0.122568771
E01001156,0.158240137
E01001157,0.137829989
E01001158,0.196199952
E01001159,0.118437542
E01001160,0.1079531
E01001161,0.173565256
E01001162,0.17853146
E01001163,0.132339185
E01001164,0.220570792
E01001165,0.205120778
E01001166,0.200434834
E01001167,0.143114703
E01001168,0.188482206
E01001169,0.163781662
E01001170,0.119689922
E01001171,0.106815311
E01001172,0.230403151
E01001173,0.110406243
E01001174,0.138467729
E01001175,0.193594828
E01001176,0.155657753
E01001177,0.24389254
E01001178,0.348421389
E01001179,0.171498239
E01001180,0.195702722
E01001181,0.192964199
E01001182,0.166351733
E01001183,0.183566099
E01001184,0.180812956
E01001185,0.194122432
E01001186,0.159682704
E01001187,0.171959003
E01001188,0.196406182
E01001189,0.213557684
E01001190,0.235912807
E01001191,0.249936843
E01001192,0.243283099
E01001193,0.246948147
E01001194,0.196842272
E01001195,0.143347391
E01001196,0.165170433
E01001197,0.15967992
E01001198,0.232529234
E01001199,0.228351523
E01001200,0.260701184
E01001201,0.203203053
E01001202,0.183389366
E01001203,0.225509592
E01001204,0.122617938
E01001205,0.18979869
E01001206,0.32399378
E01001207,0.204848522
E01001208,0.127928706
E01001209,0.130473325
E01001210,0.11897346
E01001211,0.118044165
E01001212,0.085876238
E01001213,0.106285045
E01001214,0.101225889
E01001215,0.114951548
E01001216,0.130289992
E01001217,0.155385276
E01001218,0.126037293
E01001219,0.15765264
E01001220,0.250704698
